full_query,label,template_id,malicious_input,malicious_input_id
"SELECT * FROM airport WHERE gps_code = ""YMBX"" OR local_code = '1CT3'",0,airport-S4,,
"SELECT id, ident, name FROM airport WHERE iso_country = ""IT"" LIMIT -45711",0,airport-S5,,
SELECT * FROM airport WHERE elevation_ft BETWEEN 1716.0 AND 4105.0,0,airport-S3,,
"SELECT id, ident, name FROM airport WHERE iso_country = 'RU' LIMIT -59835",0,airport-S5,,
"SELECT id, ident, name FROM airport WHERE iso_country = ""US"" LIMIT -35343",0,airport-S5,,
SELECT * FROM airport WHERE elevation_ft BETWEEN 719.0 AND 680.0,0,airport-S2,,
SELECT * FROM airport WHERE elevation_ft BETWEEN 940.0 AND 614.0,0,airport-S3,,
SELECT * FROM airport WHERE elevation_ft BETWEEN 675.0 AND 3494.0,0,airport-S3,,
SELECT * FROM airport WHERE elevation_ft BETWEEN 2624.0 AND 1061.0,0,airport-S3,,
"SELECT id, ident, name FROM airport WHERE iso_country = ""US"" LIMIT 27506",0,airport-S5,,
"SELECT * FROM airport WHERE gps_code = 'OINJ' OR local_code = ""09J""",0,airport-S4,,
SELECT * FROM airport WHERE elevation_ft BETWEEN 217.0 AND 253.0,0,airport-S3,,
DELETE from airport WHERE latitude_deg=-9.499722 AND longitude_deg=50.35677;,0,airport-D3,,
"DELETE FROM airport WHERE keywords LIKE ""Черняхо́вск"";  ",0,airport-D4,,
DELETE FROM airport WHERE municipality='Lokhim';,0,airport-D1,,
DELETE from airport WHERE latitude_deg=-3.27061 AND longitude_deg=136.88003;,0,airport-D3,,
DELETE from airport WHERE latitude_deg=33.160099029541016 AND longitude_deg=-65.4352035522;,0,airport-D3,,
"DELETE FROM airport WHERE keywords LIKE ""WN04"";  ",0,airport-D4,,
"DELETE FROM airport WHERE municipality=""Maramag"";",0,airport-D1,,
DELETE FROM airport WHERE municipality='York';,0,airport-D1,,
DELETE from airport WHERE latitude_deg=-34.0327 AND longitude_deg=146.26699829101562;,0,airport-D3,,
DELETE from airport WHERE latitude_deg=29.69011 AND longitude_deg=-116.71855;,0,airport-D2,,
DELETE from airport WHERE latitude_deg=-28.338600158691406 AND longitude_deg=-75.526859;,0,airport-D3,,
DELETE from airport WHERE latitude_deg=45.07609939575195 AND longitude_deg=114.215286;,0,airport-D3,,
"UPDATE airport SET wikipedia_link = '""https://en.wikipedia.org/wiki/Saint-Yan_Airport""' WHERE type = '""small_airport""'",0,airport-U3,,
UPDATE airport SET gps_code = ''ME49'' WHERE continent = ''EU'' AND iso_region = ''DE-NI'',0,airport-U4,,
UPDATE airport SET elevation_ft = 1365.0 WHERE ident = 'FXQG',0,airport-U1,,
"UPDATE airport SET wikipedia_link = '""https://en.wikipedia.org/wiki/Ottawa/Casselman_(Shea_Field)_Aerodrome""' WHERE type = '""heliport""'",0,airport-U3,,
UPDATE airport SET wikipedia_link = ''https://en.wikipedia.org/wiki/RAF_Chedworth'' WHERE type = ''small_airport'',0,airport-U3,,
"UPDATE airport SET gps_code = '""YMFD""' WHERE continent = '""AS""' AND iso_region = '""KE-700""'",0,airport-U4,,
UPDATE airport SET elevation_ft = 5650.0 WHERE ident = 'PL-0103',0,airport-U1,,
UPDATE airport SET elevation_ft = 1787.0 WHERE ident = 'FZGE',0,airport-U1,,
