template,ID,description
"SELECT c.CustomerID, c.AccountNumber, s.Name AS CompanyName FROM Sales_Customer c INNER JOIN Sales_Store s ON c.StoreID = s.BusinessEntityID WHERE s.Name = ""{Sales_Store_Name}""",AW-S1,Find customer information given a company name.
"SELECT p.Name AS ProductName, s.Name AS CompanyName FROM Production_ProductModel pm INNER JOIN Production_Product p ON pm.ProductModelID = p.ProductModelID INNER JOIN Sales_SalesOrderDetail sod ON p.ProductID = sod.ProductID INNER JOIN Sales_SalesOrderHeader soh ON sod.SalesOrderID = soh.SalesOrderID INNER JOIN Sales_Customer c ON soh.CustomerID = c.CustomerID INNER JOIN Sales_Store s ON c.StoreID = s.BusinessEntityID WHERE pm.Name = ""{Production_ProductModel_Name}""",AW-S2,List product name and company name for all customers who ordered a given product model.
"SELECT p.FirstName, p.LastName, e.JobTitle FROM HumanResources_Department d INNER JOIN HumanResources_EmployeeDepartmentHistory edh ON d.DepartmentID = edh.DepartmentID INNER JOIN HumanResources_Employee e ON edh.BusinessEntityID = e.BusinessEntityID INNER JOIN Person_Person p ON e.BusinessEntityID = p.BusinessEntityID WHERE d.Name = ""{HumanResources_Department_Name}""",AW-S3,Find all employees in a department by name with their first name and last name and job title.
"SELECT p.FirstName, p.LastName, e.JobTitle, e.SickLeaveHours FROM HumanResources_Employee e INNER JOIN Person_Person p ON e.BusinessEntityID = p.BusinessEntityID WHERE e.SickLeaveHours > {rand_medium_pos_number}",AW-S4,Find all employees with sick leave hours above a given threshold.
"SELECT p.FirstName, p.LastName, e.JobTitle FROM HumanResources_Employee e INNER JOIN Person_Person p ON e.BusinessEntityID = p.BusinessEntityID INNER JOIN Person_BusinessEntityAddress bea ON e.BusinessEntityID = bea.BusinessEntityID INNER JOIN Person_Address a ON bea.AddressID = a.AddressID WHERE a.City = ""{Person_Address_City}""",AW-S5,Find all employees living in a given city.
"SELECT * FROM HumanResources_Employee WHERE JobTitle = ""{HumanResources_Employee_JobTitle}""",AW-S6,Find all employees with a given job title.
"SELECT COUNT(*) AS ItemsSold FROM Sales_SalesOrderDetail sod INNER JOIN Production_Product p ON sod.ProductID = p.ProductID WHERE p.ListPrice > {Production_Product_ListPrice}",AW-S7,Find how many items with a list price above a given amount have been sold.
"SELECT p.Name AS ProductName, sod.OrderQty FROM Sales_SalesOrderDetail sod INNER JOIN Production_Product p ON sod.ProductID = p.ProductID INNER JOIN Sales_SalesOrderHeader soh ON sod.SalesOrderID = soh.SalesOrderID INNER JOIN Sales_Customer c ON soh.CustomerID = c.CustomerID INNER JOIN Sales_Store s ON c.StoreID = s.BusinessEntityID WHERE s.Name = ""{Sales_Store_Name}""",AW-S8,List product name and quantity ordered by a given company.
"SELECT s.Name AS CompanyName, SUM(soh.TotalDue) AS TotalSpent FROM Sales_SalesOrderHeader soh INNER JOIN Sales_Customer c ON soh.CustomerID = c.CustomerID INNER JOIN Sales_Store s ON c.StoreID = s.BusinessEntityID INNER JOIN Sales_SalesTerritory t ON c.TerritoryID = t.TerritoryID WHERE t.Name = ""{Sales_SalesTerritory_Name}"" GROUP BY s.Name ORDER BY TotalSpent DESC LIMIT 1",AW-S9,Find the best customer in a given sales territory.
"SELECT v.Name AS VendorName, v.AccountNumber FROM Purchasing_Vendor v INNER JOIN Purchasing_ProductVendor pv ON v.BusinessEntityID = pv.BusinessEntityID INNER JOIN Production_Product p ON pv.ProductID = p.ProductID WHERE p.Name = ""{Production_Product_Name}""",AW-S10,List all vendors supplying a given product.
