template,ID,description
"SELECT actor_id, first_name, last_name FROM actor WHERE first_name = ""{actor_first_name}""",sakila-S1,Find an actor by first name.
"SELECT f.title, i.inventory_id, i.store_id FROM film f INNER JOIN inventory i ON f.film_id = i.film_id WHERE f.title = ""{film_title}"" AND i.store_id = {store_store_id}",sakila-S2,Check if a movie title is available in a specific store.
"SELECT AVG(f.length) AS average_length FROM film f INNER JOIN film_category fc ON f.film_id = fc.film_id INNER JOIN category c ON fc.category_id = c.category_id WHERE c.name = ""{category_name}""",sakila-S3,Calculate the average movie length for a given category.
"SELECT rental_id FROM rental WHERE inventory_id = {rental_inventory_id} AND customer_id = {customer_customer_id} AND return_date IS NULL INTO @rentID",sakila-S4,Find active rental ID for a specific inventory item and customer.
"SELECT f.title, COUNT(i.inventory_id) AS copies FROM film f INNER JOIN inventory i ON f.film_id = i.film_id WHERE i.store_id = {store_store_id} GROUP BY f.film_id",sakila-S5,Count the number of copies of each film in a given store.
"SELECT s.first_name, s.last_name FROM staff s INNER JOIN store st ON s.staff_id = st.manager_staff_id WHERE st.store_id = {store_store_id}",sakila-S6,Get the first and last name of a store manager by store ID.
"SELECT a.first_name, a.last_name FROM actor a INNER JOIN film_actor fa ON a.actor_id = fa.actor_id INNER JOIN film f ON fa.film_id = f.film_id WHERE f.title = ""{film_title}""",sakila-S7,Get the actors of a film by title.
"SELECT c.customer_id, c.first_name, c.last_name FROM customer c INNER JOIN rental r ON c.customer_id = r.customer_id INNER JOIN inventory i ON r.inventory_id = i.inventory_id INNER JOIN film_category fc ON i.film_id = fc.film_id INNER JOIN category cat ON fc.category_id = cat.category_id WHERE cat.name = ""{category_name}"" GROUP BY c.customer_id HAVING COUNT(r.rental_id) BETWEEN {rand_small_pos_number} AND {rand_small_pos_number}",sakila-S8,Find customers who rented between X and Y movies in a given category.
"SELECT phone, district FROM address WHERE district IN (""{address_district}"", ""{address_district}"", ""{address_district}"")",sakila-S9,Get phone and district for addresses in specified districts.
"SELECT * FROM payment WHERE payment_date BETWEEN ""{payment_payment_date}"" AND ""{payment_payment_date}""",sakila-S10,Get all payments made between two dates.
"SELECT title, description, release_year FROM film WHERE description LIKE ""{rand_string}""",sakila-S11,Find films where description begins with a given string.
"SELECT film_id FROM film WHERE {conditions}",sakila-S12,Search films using a flexible set of filter conditions.
